id,categoria,titulo_curto,descricao_objetiva,valor_ou_faixa_prevista,dataset_ou_experimento_alvo,janela_temporal,status,falsificabilidade,dependencias,fonte_interna,fonte_externa,owner,prioridade,next_action,updated_at,mapeamento_id_antigo
RLL59-047,emergente,Análise de sensibilidade de ΩP₀,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-048,emergente,Análise de sensibilidade de w_t,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-049,emergente,Análise de sensibilidade de z_t,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-050,emergente,Catálogo de cenários falsificadores,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-051,emergente,Matriz de decisão Go/No-Go,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P0,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-052,emergente,Regra de promoção lnB > 5,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P0,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-053,emergente,Threshold alternativo Δχ² > 10,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-054,emergente,Pipeline para cálculo de ln B,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P0,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-055,emergente,Padronização de outputs chain/posterior,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-056,emergente,Mapeamento IDs legado→RLL59,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P0,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-057,emergente,Remoção de duplicatas semânticas,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P0,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-058,emergente,Integração com tracking_frentes.csv,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P0,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-059,emergente,Registro de owner e updated_at por item,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
